Pixel,  Wavelength(nm)
353,   1556.0630
354,   1556.1557
355,   1556.2501
356,   1556.3450
357,   1556.4383
358,   1556.5325
359,   1556.6272
360,   1556.7206
361,   1556.8159
362,   1556.9100
363,   1557.0032
364,   1557.0987
365,   1557.1928
366,   1557.2859
367,   1557.3813
368,   1557.4750
369,   1557.5686
370,   1557.6632
371,   1557.7559
372,   1557.8500
373,   1557.9453
374,   1558.0378
375,   1558.1319
376,   1558.2261
377,   1558.3181
378,   1558.4119
379,   1558.5067
380,   1558.5990
381,   1558.6938
382,   1558.7879
383,   1558.8800
384,   1558.9747
385,   1559.0683
386,   1559.1609
387,   1559.2549
388,   1559.3471
389,   1559.4396
390,   1559.5336
391,   1559.6260
392,   1559.7196
393,   1559.8133
394,   1559.9056
395,   1559.9991
396,   1560.0930
397,   1560.1854
398,   1560.2782
399,   1560.3717
400,   1560.4639
401,   1560.5573
402,   1560.6501
403,   1560.7419
404,   1560.8359
405,   1560.9288
406,   1561.0203
407,   1561.1133
408,   1561.2061
409,   1561.2977
410,   1561.3906
411,   1561.4828
412,   1561.5752
413,   1561.6686
414,   1561.7607
415,   1561.8526
416,   1561.9457
417,   1562.0381
418,   1562.1302
419,   1562.2226
420,   1562.3144
421,   1562.4060
422,   1562.4983
423,   1562.5903
424,   1562.6824
425,   1562.7743
426,   1562.8671
427,   1562.9587
428,   1563.0512
429,   1563.1430
430,   1563.2341
431,   1563.3257
432,   1563.4176
433,   1563.5089
434,   1563.6003
435,   1563.6928
436,   1563.7847
437,   1563.8763
438,   1563.9677
439,   1564.0588
440,   1564.1509
441,   1564.2422
442,   1564.3324
443,   1564.4243
444,   1564.5164
445,   1564.6070
446,   1564.6985
447,   1564.7901
448,   1564.8810
449,   1564.9729
450,   1565.0637
451,   1565.1545
452,   1565.2462
453,   1565.3368
454,   1565.4271
455,   1565.5184
456,   1565.6093
457,   1565.6994
458,   1565.7914
459,   1565.8816
460,   1565.9724
461,   1566.0642
462,   1566.1546
463,   1566.2442
464,   1566.3354
465,   1566.4254
466,   1566.5152
467,   1566.6071
468,   1566.6972
469,   1566.7877
470,   1566.8789
471,   1566.9687
472,   1567.0592
473,   1567.1503
474,   1567.2396
475,   1567.3294
476,   1567.4204
477,   1567.5095
478,   1567.5996
479,   1567.6902
480,   1567.7804
481,   1567.8703
482,   1567.9606
483,   1568.0504
484,   1568.1406
485,   1568.2307
486,   1568.3204
487,   1568.4101
488,   1568.4997
489,   1568.5897
490,   1568.6785
491,   1568.7680
492,   1568.8581
493,   1568.9480
494,   1569.0377
495,   1569.1270
496,   1569.2157
497,   1569.3052
498,   1569.3954
499,   1569.4850
500,   1569.5747
501,   1569.6647
502,   1569.7536
503,   1569.8426
504,   1569.9317
505,   1570.0207
506,   1570.1092
507,   1570.1991
508,   1570.2875
509,   1570.3767
510,   1570.4657
511,   1570.5547
Case Temperature: 29.561
Wavelength, Intensity
1520.426,    3064
1520.533,    3366
1520.641,    3366
1520.748,    3368
1520.856,    3361
1520.962,    3349
1521.072,    3355
1521.177,    3382
1521.285,    3350
1521.393,    3363
1521.500,    3349
1521.608,    3352
1521.713,    3348
1521.821,    3354
1521.928,    3344
1522.034,    3362
1522.142,    3338
1522.248,    3360
1522.357,    3350
1522.462,    3381
1522.569,    3355
1522.675,    3377
1522.782,    3333
1522.889,    3362
1522.995,    3356
1523.103,    3365
1523.209,    3357
1523.316,    3385
1523.422,    3364
1523.528,    3395
1523.635,    3347
1523.739,    3389
1523.846,    3373
1523.952,    3388
1524.058,    3363
1524.166,    3409
1524.270,    3370
1524.377,    3420
1524.484,    3394
1524.589,    3411
1524.697,    3384
1524.800,    3396
1524.907,    3395
1525.013,    3422
1525.119,    3399
1525.225,    3403
1525.329,    3385
1525.436,    3414
1525.542,    3415
1525.647,    3417
1525.753,    3403
1525.858,    3415
1525.965,    3390
1526.069,    3414
1526.175,    3401
1526.280,    3424
1526.385,    3404
1526.492,    3402
1526.596,    3409
1526.701,    3407
1526.807,    3392
1526.912,    3414
1527.019,    3383
1527.122,    3424
1527.227,    3406
1527.332,    3424
1527.437,    3385
1527.543,    3397
1527.647,    3395
1527.753,    3419
1527.857,    3406
1527.962,    3405
1528.068,    3388
1528.171,    3395
1528.277,    3382
1528.381,    3409
1528.486,    3383
1528.591,    3409
1528.694,    3397
1528.800,    3379
1528.904,    3398
1529.009,    3394
1529.114,    3398
1529.217,    3409
1529.322,    3383
1529.426,    3388
1529.530,    3370
1529.635,    3391
1529.738,    3382
1529.844,    3373
1529.947,    3380
1530.052,    3391
1530.157,    3364
1530.259,    3375
1530.365,    3362
1530.468,    3381
1530.571,    3374
1530.675,    3387
1530.778,    3383
1530.882,    3376
1530.986,    3374
1531.090,    3355
1531.194,    3352
1531.297,    3342
1531.402,    3340
1531.505,    3349
1531.609,    3342
1531.712,    3347
1531.814,    3361
1531.919,    3340
1532.022,    3361
1532.125,    3366
1532.229,    3356
1532.331,    3342
1532.435,    3340
1532.539,    3365
1532.643,    3345
1532.746,    3347
1532.847,    3345
1532.951,    3356
1533.054,    3362
1533.158,    3368
1533.262,    3357
1533.363,    3389
1533.467,    3403
1533.570,    3397
1533.672,    3369
1533.776,    3376
1533.877,    3347
1533.980,    3385
1534.082,    3393
1534.184,    3434
1534.289,    3387
1534.391,    3399
1534.493,    3384
1534.597,    3415
1534.698,    3376
1534.802,    3411
1534.903,    3391
1535.005,    3392
1535.108,    3386
1535.209,    3400
1535.312,    3386
1535.415,    3406
1535.517,    3388
1535.620,    3416
1535.721,    3396
1535.824,    3406
1535.927,    3374
1536.027,    3397
1536.130,    3415
1536.231,    3415
1536.332,    3397
1536.435,    3416
1536.536,    3398
1536.639,    3421
1536.740,    3413
1536.842,    3415
1536.944,    3401
1537.045,    3411
1537.147,    3427
1537.248,    3405
1537.349,    3402
1537.452,    3413
1537.552,    3401
1537.654,    3395
1537.755,    3406
1537.856,    3405
1537.959,    3394
1538.059,    3379
1538.161,    3417
1538.262,    3445
1538.362,    3388
1538.464,    3440
1538.565,    3387
1538.666,    3401
1538.768,    3392
1538.868,    3397
1538.969,    3399
1539.070,    3401
1539.171,    3402
1539.272,    3389
1539.372,    3399
1539.473,    3397
1539.574,    3379
1539.674,    3406
1539.776,    3409
1539.876,    3392
1539.977,    3392
1540.078,    3414
1540.178,    3397
1540.279,    3413
1540.379,    3408
1540.478,    3429
1540.579,    3406
1540.679,    3423
1540.779,    3445
1540.880,    3535
1540.979,    3528
1541.080,    3439
1541.181,    3444
1541.280,    3425
1541.381,    3433
1541.480,    3466
1541.581,    3435
1541.681,    3440
1541.779,    3434
1541.880,    3423
1541.979,    3446
1542.079,    3484
1542.180,    3566
1542.279,    3828
1542.379,    4160
1542.479,    4281
1542.577,    4124
1542.678,    4809
1542.778,    5648
1542.876,    5733
1542.977,    7602
1543.075,    25171
1543.176,    64511
1543.276,    65869
1543.373,    64231
1543.473,    62158
1543.573,    12620
1543.671,    7011
1543.771,    4349
1543.869,    3988
1543.968,    3761
1544.068,    3692
1544.165,    3618
1544.265,    3597
1544.365,    3552
1544.463,    3557
1544.563,    3480
1544.661,    3465
1544.759,    3473
1544.859,    3482
1544.956,    3510
1545.055,    3508
1545.155,    3509
1545.252,    3493
1545.352,    3441
1545.450,    3457
1545.549,    3453
1545.648,    3562
1545.745,    3518
1545.844,    3459
1545.943,    3432
1546.040,    3438
1546.139,    3428
1546.237,    3418
1546.335,    3418
1546.434,    3411
1546.531,    3378
1546.629,    3430
1546.728,    3404
1546.825,    3420
1546.922,    3382
1547.021,    3413
1547.118,    3384
1547.217,    3403
1547.314,    3390
1547.412,    3414
1547.511,    3401
1547.607,    3420
1547.705,    3377
1547.803,    3371
1547.899,    3371
1547.998,    3366
1548.095,    3368
1548.192,    3379
1548.291,    3389
1548.388,    3392
1548.485,    3385
1548.583,    3366
1548.680,    3353
1548.777,    3364
1548.875,    3355
1548.971,    3362
1549.069,    3363
1549.166,    3356
1549.262,    3359
1549.360,    3344
1549.456,    3349
1549.554,    3355
1549.651,    3337
1549.747,    3362
1549.845,    3355
1549.942,    3350
1550.037,    3323
1550.134,    3336
1550.231,    3343
1550.328,    3342
1550.424,    3326
1550.521,    3324
1550.617,    3325
1550.715,    3333
1550.810,    3308
1550.906,    3317
1551.004,    3293
1551.099,    3315
1551.195,    3306
1551.292,    3299
1551.388,    3311
1551.485,    3298
1551.581,    3307
1551.677,    3305
1551.774,    3311
1551.870,    3316
1551.965,    3306
1552.062,    3292
1552.156,    3320
1552.252,    3307
1552.349,    3313
1552.444,    3332
1552.541,    3313
1552.637,    3317
1552.732,    3310
1552.829,    3325
1552.924,    3289
1553.020,    3313
1553.116,    3303
1553.210,    3340
1553.305,    3335
1553.402,    3337
1553.496,    3313
1553.592,    3324
1553.688,    3340
1553.781,    3339
1553.878,    3326
1553.974,    3339
1554.068,    3307
1554.165,    3341
1554.259,    3350
1554.353,    3360
1554.450,    3313
1554.545,    3355
1554.639,    3314
1554.736,    3334
1554.829,    3342
1554.925,    3368
1555.020,    3323
1555.114,    3359
1555.209,    3320
1555.304,    3344
1555.397,    3350
1555.493,    3350
1555.588,    3327
1555.682,    3347
1555.778,    3322
1555.872,    3365
1555.967,    3329
1556.063,    3361
1556.156,    3332
1556.250,    3350
1556.345,    3343
1556.438,    3337
1556.532,    3315
1556.627,    3337
1556.721,    3313
1556.816,    3329
1556.910,    3321
1557.003,    3326
1557.099,    3324
1557.193,    3329
1557.286,    3327
1557.381,    3333
1557.475,    3332
1557.569,    3343
1557.663,    3337
1557.756,    3321
1557.850,    3321
1557.945,    3314
1558.038,    3299
1558.132,    3305
1558.226,    3328
1558.318,    3325
