Pixel,  Wavelength(nm)
353,   1556.0788
354,   1556.1715
355,   1556.2659
356,   1556.3607
357,   1556.4541
358,   1556.5483
359,   1556.6429
360,   1556.7363
361,   1556.8316
362,   1556.9258
363,   1557.0190
364,   1557.1145
365,   1557.2086
366,   1557.3017
367,   1557.3971
368,   1557.4908
369,   1557.5844
370,   1557.6790
371,   1557.7717
372,   1557.8657
373,   1557.9610
374,   1558.0536
375,   1558.1477
376,   1558.2418
377,   1558.3338
378,   1558.4276
379,   1558.5225
380,   1558.6148
381,   1558.7096
382,   1558.8037
383,   1558.8958
384,   1558.9905
385,   1559.0841
386,   1559.1767
387,   1559.2706
388,   1559.3628
389,   1559.4554
390,   1559.5494
391,   1559.6418
392,   1559.7354
393,   1559.8291
394,   1559.9214
395,   1560.0149
396,   1560.1087
397,   1560.2012
398,   1560.2939
399,   1560.3874
400,   1560.4797
401,   1560.5730
402,   1560.6659
403,   1560.7577
404,   1560.8516
405,   1560.9446
406,   1561.0361
407,   1561.1291
408,   1561.2219
409,   1561.3135
410,   1561.4063
411,   1561.4986
412,   1561.5910
413,   1561.6843
414,   1561.7765
415,   1561.8684
416,   1561.9615
417,   1562.0539
418,   1562.1460
419,   1562.2383
420,   1562.3302
421,   1562.4218
422,   1562.5141
423,   1562.6061
424,   1562.6982
425,   1562.7901
426,   1562.8829
427,   1562.9745
428,   1563.0670
429,   1563.1589
430,   1563.2499
431,   1563.3415
432,   1563.4334
433,   1563.5247
434,   1563.6162
435,   1563.7087
436,   1563.8005
437,   1563.8921
438,   1563.9835
439,   1564.0746
440,   1564.1667
441,   1564.2581
442,   1564.3482
443,   1564.4402
444,   1564.5322
445,   1564.6228
446,   1564.7144
447,   1564.8060
448,   1564.8968
449,   1564.9888
450,   1565.0795
451,   1565.1703
452,   1565.2621
453,   1565.3527
454,   1565.4429
455,   1565.5343
456,   1565.6252
457,   1565.7152
458,   1565.8073
459,   1565.8974
460,   1565.9882
461,   1566.0801
462,   1566.1705
463,   1566.2601
464,   1566.3513
465,   1566.4412
466,   1566.5311
467,   1566.6230
468,   1566.7131
469,   1566.8036
470,   1566.8948
471,   1566.9846
472,   1567.0751
473,   1567.1662
474,   1567.2555
475,   1567.3453
476,   1567.4363
477,   1567.5254
478,   1567.6155
479,   1567.7061
480,   1567.7963
481,   1567.8862
482,   1567.9765
483,   1568.0663
484,   1568.1565
485,   1568.2466
486,   1568.3363
487,   1568.4260
488,   1568.5156
489,   1568.6056
490,   1568.6944
491,   1568.7839
492,   1568.8741
493,   1568.9639
494,   1569.0536
495,   1569.1429
496,   1569.2316
497,   1569.3211
498,   1569.4114
499,   1569.5009
500,   1569.5906
501,   1569.6807
502,   1569.7695
503,   1569.8585
504,   1569.9477
505,   1570.0366
506,   1570.1251
507,   1570.2150
508,   1570.3034
509,   1570.3926
510,   1570.4816
511,   1570.5706
Case Temperature: 30.615
Wavelength, Intensity
1520.442,    3052
1520.549,    3372
1520.656,    3356
1520.764,    3394
1520.872,    3370
1520.978,    3378
1521.087,    3358
1521.193,    3394
1521.301,    3359
1521.409,    3414
1521.515,    3366
1521.623,    3397
1521.729,    3380
1521.836,    3388
1521.944,    3382
1522.050,    3397
1522.158,    3386
1522.264,    3399
1522.372,    3375
1522.478,    3395
1522.585,    3380
1522.691,    3401
1522.798,    3368
1522.905,    3372
1523.011,    3377
1523.118,    3388
1523.224,    3378
1523.331,    3404
1523.438,    3399
1523.543,    3392
1523.651,    3372
1523.755,    3392
1523.862,    3385
1523.968,    3392
1524.073,    3392
1524.182,    3407
1524.286,    3383
1524.393,    3386
1524.499,    3390
1524.605,    3397
1524.713,    3376
1524.816,    3413
1524.923,    3378
1525.028,    3395
1525.134,    3379
1525.241,    3376
1525.344,    3372
1525.452,    3392
1525.558,    3395
1525.663,    3384
1525.769,    3395
1525.874,    3398
1525.981,    3380
1526.085,    3393
1526.190,    3366
1526.296,    3393
1526.401,    3394
1526.508,    3402
1526.611,    3387
1526.717,    3373
1526.823,    3388
1526.928,    3393
1527.034,    3374
1527.137,    3417
1527.243,    3372
1527.348,    3384
1527.453,    3379
1527.559,    3391
1527.662,    3392
1527.768,    3394
1527.873,    3401
1527.978,    3386
1528.083,    3372
1528.187,    3388
1528.293,    3384
1528.397,    3383
1528.502,    3382
1528.607,    3370
1528.709,    3366
1528.816,    3377
1528.920,    3373
1529.025,    3379
1529.130,    3377
1529.232,    3384
1529.338,    3374
1529.442,    3372
1529.546,    3354
1529.651,    3372
1529.754,    3355
1529.860,    3372
1529.963,    3353
1530.067,    3366
1530.173,    3369
1530.275,    3386
1530.380,    3372
1530.484,    3387
1530.587,    3356
1530.691,    3374
1530.793,    3370
1530.898,    3387
1531.002,    3355
1531.106,    3371
1531.210,    3367
1531.312,    3378
1531.418,    3376
1531.521,    3370
1531.624,    3371
1531.728,    3392
1531.830,    3376
1531.935,    3390
1532.038,    3355
1532.141,    3390
1532.245,    3374
1532.347,    3380
1532.451,    3377
1532.555,    3399
1532.659,    3370
1532.762,    3375
1532.863,    3377
1532.967,    3384
1533.070,    3365
1533.173,    3367
1533.277,    3380
1533.378,    3381
1533.482,    3377
1533.585,    3373
1533.687,    3377
1533.792,    3367
1533.893,    3369
1533.996,    3376
1534.098,    3361
1534.200,    3399
1534.305,    3378
1534.407,    3392
1534.509,    3357
1534.612,    3383
1534.714,    3382
1534.817,    3379
1534.919,    3369
1535.021,    3378
1535.124,    3353
1535.225,    3369
1535.328,    3369
1535.430,    3372
1535.532,    3366
1535.636,    3384
1535.736,    3349
1535.839,    3364
1535.942,    3374
1536.043,    3355
1536.146,    3365
1536.247,    3385
1536.348,    3365
1536.451,    3387
1536.552,    3360
1536.655,    3362
1536.756,    3374
1536.858,    3383
1536.960,    3359
1537.061,    3372
1537.163,    3369
1537.264,    3375
1537.365,    3359
1537.467,    3369
1537.568,    3351
1537.670,    3386
1537.771,    3354
1537.872,    3379
1537.974,    3357
1538.075,    3357
1538.177,    3370
1538.278,    3389
1538.378,    3351
1538.479,    3384
1538.581,    3357
1538.682,    3370
1538.784,    3380
1538.884,    3355
1538.985,    3357
1539.086,    3371
1539.186,    3359
1539.288,    3374
1539.388,    3356
1539.489,    3367
1539.590,    3358
1539.689,    3363
1539.791,    3361
1539.892,    3347
1539.993,    3353
1540.094,    3365
1540.193,    3356
1540.295,    3358
1540.395,    3370
1540.494,    3370
1540.595,    3361
1540.694,    3363
1540.795,    3360
1540.896,    3369
1540.994,    3371
1541.095,    3375
1541.197,    3346
1541.295,    3367
1541.397,    3343
1541.496,    3380
1541.596,    3367
1541.697,    3367
1541.795,    3355
