Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Load Calibration Data Successfully
2014_11_16 16_25_47
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.586, 30414.572
2014_11_16 16_25_47
2014_11_16 16_25_47
0
2014_11_16 16_25_52
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.582, 30501.394
2014_11_16 16_25_52
2014_11_16 16_25_52
0
2014_11_16 16_25_54
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.580, 30429.954
2014_11_16 16_25_54
2014_11_16 16_25_54
0
2014_11_16 16_25_55
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.582, 30508.061
2014_11_16 16_25_55
2014_11_16 16_25_55
0
Pixel,  Wavelength(nm)
304,   1551.3532
305,   1551.4503
306,   1551.5462
307,   1551.6422
308,   1551.7394
309,   1551.8348
310,   1551.9306
311,   1552.0273
312,   1552.1216
313,   1552.2176
314,   1552.3143
315,   1552.4090
316,   1552.5057
317,   1552.6017
318,   1552.6970
319,   1552.7940
320,   1552.8896
321,   1552.9854
322,   1553.0811
323,   1553.1752
324,   1553.2703
325,   1553.3669
326,   1553.4608
327,   1553.5569
328,   1553.6528
329,   1553.7467
330,   1553.8428
331,   1553.9387
332,   1554.0337
333,   1554.1299
334,   1554.2238
335,   1554.3186
336,   1554.4155
337,   1554.5097
338,   1554.6045
339,   1554.7008
340,   1554.7945
341,   1554.8898
342,   1554.9855
343,   1555.0789
344,   1555.1746
345,   1555.2693
346,   1555.3625
347,   1555.4579
348,   1555.5531
349,   1555.6474
350,   1555.7433
351,   1555.8373
352,   1555.9322
353,   1556.0281
354,   1556.1208
355,   1556.2152
356,   1556.3100
357,   1556.4034
358,   1556.4976
359,   1556.5923
360,   1556.6857
361,   1556.7810
362,   1556.8751
363,   1556.9683
364,   1557.0638
365,   1557.1579
366,   1557.2510
367,   1557.3464
368,   1557.4401
369,   1557.5337
370,   1557.6283
371,   1557.7210
372,   1557.8151
373,   1557.9104
374,   1558.0029
375,   1558.0970
376,   1558.1911
377,   1558.2831
378,   1558.3770
379,   1558.4718
380,   1558.5641
381,   1558.6589
382,   1558.7530
383,   1558.8451
384,   1558.9398
385,   1559.0334
386,   1559.1260
387,   1559.2199
388,   1559.3122
389,   1559.4047
390,   1559.4987
391,   1559.5910
392,   1559.6847
393,   1559.7784
394,   1559.8707
395,   1559.9642
396,   1560.0580
397,   1560.1505
398,   1560.2432
399,   1560.3367
400,   1560.4289
401,   1560.5223
402,   1560.6152
403,   1560.7069
404,   1560.8009
405,   1560.8938
406,   1560.9853
407,   1561.0784
408,   1561.1711
409,   1561.2627
410,   1561.3556
411,   1561.4478
412,   1561.5402
413,   1561.6336
414,   1561.7257
415,   1561.8176
416,   1561.9108
417,   1562.0031
418,   1562.0952
419,   1562.1876
420,   1562.2793
421,   1562.3710
422,   1562.4634
423,   1562.5552
424,   1562.6474
425,   1562.7393
426,   1562.8320
427,   1562.9237
428,   1563.0162
429,   1563.1080
430,   1563.1991
431,   1563.2907
432,   1563.3826
433,   1563.4740
434,   1563.5653
435,   1563.6577
436,   1563.7497
437,   1563.8412
438,   1563.9326
439,   1564.0238
440,   1564.1158
441,   1564.2072
442,   1564.2974
443,   1564.3893
444,   1564.4813
445,   1564.5720
446,   1564.6635
447,   1564.7550
448,   1564.8460
449,   1564.9378
450,   1565.0286
451,   1565.1195
452,   1565.2111
453,   1565.3018
454,   1565.3920
455,   1565.4833
456,   1565.5743
457,   1565.6643
458,   1565.7563
459,   1565.8465
460,   1565.9373
461,   1566.0290
462,   1566.1196
463,   1566.2092
464,   1566.3003
465,   1566.3903
466,   1566.4802
467,   1566.5720
468,   1566.6622
469,   1566.7526
470,   1566.8438
471,   1566.9336
472,   1567.0241
473,   1567.1152
474,   1567.2045
475,   1567.2943
476,   1567.3853
477,   1567.4744
478,   1567.5645
479,   1567.6551
480,   1567.7452
481,   1567.8351
482,   1567.9255
483,   1568.0152
484,   1568.1054
485,   1568.1956
486,   1568.2852
487,   1568.3749
488,   1568.4646
489,   1568.5545
490,   1568.6433
491,   1568.7329
492,   1568.8229
493,   1568.9127
494,   1569.0026
495,   1569.0917
496,   1569.1805
497,   1569.2701
498,   1569.3602
499,   1569.4497
500,   1569.5395
501,   1569.6295
502,   1569.7184
503,   1569.8074
504,   1569.8965
505,   1569.9855
506,   1570.0740
507,   1570.1638
508,   1570.2523
509,   1570.3415
510,   1570.4305
511,   1570.5196
2014_11_16 16_26_23
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1540.199, 30587.854
2014_11_16 16_26_23
2014_11_16 16_26_23
0
