Case Temperature: 31.099
Wavelength, Intensity
1556.086,    3330
1556.179,    3324
1556.273,    3327
1556.368,    3322
1556.461,    3331
1556.556,    3315
1556.650,    3322
1556.744,    3321
1556.839,    3336
1556.933,    3332
1557.026,    3329
1557.122,    3305
1557.216,    3361
1557.309,    3326
1557.404,    3318
1557.498,    3321
1557.592,    3306
1557.686,    3319
1557.779,    3341
1557.873,    3315
1557.968,    3325
1558.061,    3317
1558.155,    3314
1558.249,    3311
1558.341,    3323
1558.435,    3315
1558.530,    3332
1558.622,    3328
1558.717,    3321
1558.811,    3302
1558.903,    3320
1558.998,    3306
1559.091,    3292
1559.184,    3299
1559.278,    3294
1559.370,    3298
1559.463,    3302
1559.557,    3275
1559.649,    3294
1559.743,    3290
1559.836,    3282
1559.929,    3300
1560.022,    3287
1560.116,    3259
1560.209,    3276
1560.301,    3269
1560.395,    3294
1560.487,    3290
1560.580,    3274
1560.673,    3274
1560.765,    3312
1560.859,    3271
1560.952,    3301
1561.043,    3287
1561.136,    3311
1561.229,    3301
1561.321,    3307
1561.414,    3283
1561.506,    3319
1561.598,    3307
1561.692,    3318
1561.784,    3299
1561.876,    3328
1561.969,    3292
1562.061,    3333
1562.153,    3310
1562.246,    3325
1562.338,    3306
1562.429,    3341
1562.521,    3306
1562.613,    3312
1562.706,    3302
1562.797,    3335
1562.890,    3321
1562.982,    3307
1563.074,    3310
1563.166,    3332
1563.257,    3301
1563.349,    3321
1563.441,    3321
1563.532,    3328
1563.623,    3305
1563.716,    3330
1563.808,    3319
1563.899,    3336
1563.991,    3307
1564.082,    3328
1564.174,    3324
1564.265,    3318
1564.356,    3316
1564.447,    3326
1564.540,    3309
1564.630,    3326
1564.722,    3311
1564.813,    3325
1564.904,    3305
1564.996,    3317
1565.087,    3290
1565.178,    3316
1565.269,    3307
1565.360,    3304
1565.450,    3307
1565.542,    3314
1565.632,    3298
1565.723,    3296
1565.815,    3277
1565.905,    3308
1565.995,    3284
1566.087,    3330
1566.178,    3300
1566.267,    3300
1566.359,    3289
1566.449,    3299
1566.538,    3294
1566.630,    3303
1566.720,    3287
1566.811,    3295
1566.902,    3314
1566.992,    3293
1567.082,    3286
1567.173,    3299
1567.263,    3295
1567.353,    3302
1567.444,    3294
1567.533,    3292
1567.623,    3291
1567.713,    3299
1567.804,    3283
1567.893,    3278
1567.984,    3282
1568.074,    3280
1568.164,    3276
1568.254,    3259
1568.344,    3259
1568.433,    3261
1568.523,    3272
1568.613,    3270
1568.702,    3265
1568.791,    3269
1568.881,    3265
1568.971,    3276
1569.061,    3247
1569.150,    3271
1569.239,    3255
1569.328,    3275
1569.419,    3280
1569.508,    3277
1569.598,    3253
1569.688,    3260
1569.777,    3265
1569.866,    3278
1569.955,    3277
1570.044,    3257
1570.132,    3270
1570.222,    3291
1570.311,    3268
1570.400,    3293
1570.489,    3276
1570.578,    3303
Pixel,  Wavelength(nm)
000,   1520.4491
001,   1520.5563
002,   1520.6636
003,   1520.7710
004,   1520.8796
005,   1520.9855
006,   1521.0947
007,   1521.1998
008,   1521.3080
009,   1521.4164
010,   1521.5226
011,   1521.6308
012,   1521.7364
013,   1521.8437
014,   1521.9513
015,   1522.0573
016,   1522.1656
017,   1522.2714
018,   1522.3796
019,   1522.4850
020,   1522.5921
021,   1522.6983
022,   1522.8054
023,   1522.9121
024,   1523.0181
025,   1523.1257
026,   1523.2316
027,   1523.3385
028,   1523.4454
029,   1523.5507
030,   1523.6581
031,   1523.7620
032,   1523.8690
033,   1523.9753
034,   1524.0806
035,   1524.1893
036,   1524.2932
037,   1524.4004
038,   1524.5066
039,   1524.6119
040,   1524.7202
041,   1524.8235
042,   1524.9301
043,   1525.0357
044,   1525.1415
045,   1525.2480
046,   1525.3516
047,   1525.4589
048,   1525.5650
049,   1525.6699
050,   1525.7764
051,   1525.8811
052,   1525.9883
053,   1526.0924
054,   1526.1975
055,   1526.3031
056,   1526.4081
057,   1526.5149
058,   1526.6185
059,   1526.7241
060,   1526.8305
061,   1526.9354
062,   1527.0416
063,   1527.1447
064,   1527.2504
065,   1527.3554
066,   1527.4601
067,   1527.5658
068,   1527.6696
069,   1527.7757
070,   1527.8801
071,   1527.9848
072,   1528.0907
073,   1528.1939
074,   1528.2998
075,   1528.4042
076,   1528.5089
077,   1528.6140
078,   1528.7166
079,   1528.8232
080,   1528.9274
081,   1529.0319
082,   1529.1369
083,   1529.2397
084,   1529.3454
085,   1529.4490
086,   1529.5531
087,   1529.6581
088,   1529.7612
089,   1529.8668
090,   1529.9704
091,   1530.0745
092,   1530.1799
093,   1530.2823
094,   1530.3875
095,   1530.4909
096,   1530.5937
097,   1530.6978
098,   1530.8007
099,   1530.9054
100,   1531.0091
101,   1531.1127
102,   1531.2173
103,   1531.3196
104,   1531.4249
105,   1531.5282
106,   1531.6314
107,   1531.7351
108,   1531.8373
109,   1531.9418
110,   1532.0452
111,   1532.1482
112,   1532.2524
113,   1532.3543
114,   1532.4582
115,   1532.5618
116,   1532.6658
117,   1532.7692
118,   1532.8702
119,   1532.9739
120,   1533.0772
121,   1533.1805
122,   1533.2845
123,   1533.3855
124,   1533.4894
125,   1533.5926
126,   1533.6944
127,   1533.7993
128,   1533.9000
129,   1534.0028
130,   1534.1054
131,   1534.2069
132,   1534.3120
133,   1534.4138
134,   1534.5161
135,   1534.6195
136,   1534.7210
137,   1534.8244
138,   1534.9259
139,   1535.0279
140,   1535.1311
141,   1535.2318
142,   1535.3351
143,   1535.4376
144,   1535.5394
145,   1535.6428
146,   1535.7435
147,   1535.8465
148,   1535.9495
149,   1536.0500
150,   1536.1529
151,   1536.2537
152,   1536.3552
153,   1536.4578
154,   1536.5587
155,   1536.6619
156,   1536.7634
157,   1536.8650
158,   1536.9673
159,   1537.0680
160,   1537.1697
161,   1537.2712
162,   1537.3718
163,   1537.4745
164,   1537.5752
165,   1537.6768
166,   1537.7784
167,   1537.8787
168,   1537.9816
169,   1538.0821
170,   1538.1839
171,   1538.2852
172,   1538.3850
173,   1538.4866
174,   1538.5882
175,   1538.6893
176,   1538.7909
177,   1538.8909
178,   1538.9918
179,   1539.0928
180,   1539.1934
181,   1539.2950
182,   1539.3951
183,   1539.4962
184,   1539.5972
185,   1539.6965
186,   1539.7984
187,   1539.8992
188,   1539.9997
189,   1540.1010
190,   1540.2006
191,   1540.3018
192,   1540.4021
193,   1540.5007
194,   1540.6021
195,   1540.7017
196,   1540.8021
197,   1540.9031
198,   1541.0016
199,   1541.1026
200,   1541.2037
201,   1541.3026
202,   1541.4039
203,   1541.5033
204,   1541.6034
205,   1541.7040
206,   1541.8017
207,   1541.9028
208,   1542.0024
209,   1542.1023
210,   1542.2033
211,   1542.3017
212,   1542.4022
213,   1542.5022
214,   1542.6000
215,   1542.7008
216,   1542.8007
217,   1542.8992
218,   1542.9998
219,   1543.0981
220,   1543.1984
221,   1543.2986
222,   1543.3958
223,   1543.4963
224,   1543.5955
225,   1543.6936
226,   1543.7935
227,   1543.8915
228,   1543.9909
229,   1544.0905
230,   1544.1883
231,   1544.2882
232,   1544.3880
233,   1544.4858
234,   1544.5857
235,   1544.6840
236,   1544.7823
237,   1544.8818
238,   1544.9790
239,   1545.0782
240,   1545.1776
241,   1545.2748
242,   1545.3751
243,   1545.4731
244,   1545.5718
245,   1545.6712
246,   1545.7683
247,   1545.8669
248,   1545.9660
249,   1546.0628
250,   1546.1616
251,   1546.2597
252,   1546.3576
253,   1546.4573
254,   1546.5540
255,   1546.6521
256,   1546.7514
257,   1546.8478
258,   1546.9451
259,   1547.0439
260,   1547.1407
261,   1547.2403
262,   1547.3373
263,   1547.4347
264,   1547.5341
265,   1547.6300
266,   1547.7279
267,   1547.8262
268,   1547.9222
269,   1548.0206
270,   1548.1180
271,   1548.2151
272,   1548.3139
273,   1548.4109
274,   1548.5080
275,   1548.6064
276,   1548.7026
277,   1548.8001
278,   1548.8983
279,   1548.9939
280,   1549.0916
281,   1549.1888
282,   1549.2852
283,   1549.3830
284,   1549.4793
285,   1549.5768
286,   1549.6741
287,   1549.7696
288,   1549.8678
289,   1549.9652
290,   1550.0603
291,   1550.1572
292,   1550.2542
293,   1550.3504
294,   1550.4474
295,   1550.5435
296,   1550.6402
297,   1550.7382
298,   1550.8331
299,   1550.9292
300,   1551.0266
301,   1551.1215
302,   1551.2183
303,   1551.3152
304,   1551.4108
305,   1551.5081
306,   1551.6039
307,   1551.6999
308,   1551.7973
309,   1551.8925
310,   1551.9883
311,   1552.0851
312,   1552.1793
313,   1552.2754
314,   1552.3721
315,   1552.4667
316,   1552.5635
317,   1552.6595
318,   1552.7547
319,   1552.8519
320,   1552.9474
321,   1553.0431
322,   1553.1389
323,   1553.2329
324,   1553.3280
325,   1553.4248
326,   1553.5185
327,   1553.6146
328,   1553.7106
329,   1553.8044
330,   1553.9006
331,   1553.9965
332,   1554.0914
333,   1554.1877
334,   1554.2816
335,   1554.3763
336,   1554.4734
337,   1554.5675
338,   1554.6623
339,   1554.7587
340,   1554.8523
341,   1554.9476
342,   1555.0434
343,   1555.1367
344,   1555.2324
345,   1555.3272
346,   1555.4203
347,   1555.5158
348,   1555.6110
349,   1555.7052
350,   1555.8012
351,   1555.8952
352,   1555.9900
353,   1556.0860
354,   1556.1787
355,   1556.2731
356,   1556.3680
357,   1556.4613
358,   1556.5555
359,   1556.6502
360,   1556.7436
361,   1556.8389
362,   1556.9330
363,   1557.0262
364,   1557.1217
365,   1557.2158
366,   1557.3089
367,   1557.4043
368,   1557.4980
369,   1557.5916
370,   1557.6862
371,   1557.7789
372,   1557.8730
373,   1557.9683
374,   1558.0608
375,   1558.1549
376,   1558.2491
377,   1558.3411
378,   1558.4349
379,   1558.5298
380,   1558.6221
381,   1558.7168
382,   1558.8109
383,   1558.9031
384,   1558.9977
385,   1559.0914
386,   1559.1840
387,   1559.2779
388,   1559.3701
389,   1559.4627
390,   1559.5567
391,   1559.6491
392,   1559.7427
393,   1559.8364
394,   1559.9287
395,   1560.0222
396,   1560.1160
397,   1560.2085
398,   1560.3012
399,   1560.3947
400,   1560.4870
401,   1560.5803
402,   1560.6732
403,   1560.7650
404,   1560.8589
405,   1560.9519
406,   1561.0434
407,   1561.1363
408,   1561.2292
409,   1561.3208
410,   1561.4136
411,   1561.5059
