Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Load Calibration Data Successfully
Integration Time: 1000 us
Line Rate: 889 Hz
Pixel,  Wavelength(nm)
341,   1554.9594
342,   1555.0552
343,   1555.1485
344,   1555.2442
345,   1555.3390
346,   1555.4321
347,   1555.5276
348,   1555.6228
349,   1555.7170
350,   1555.8130
351,   1555.9070
352,   1556.0018
353,   1556.0978
354,   1556.1905
355,   1556.2849
356,   1556.3798
357,   1556.4731
358,   1556.5673
359,   1556.6620
360,   1556.7554
361,   1556.8507
362,   1556.9448
363,   1557.0380
364,   1557.1335
365,   1557.2276
366,   1557.3207
367,   1557.4161
368,   1557.5098
369,   1557.6034
370,   1557.6980
371,   1557.7907
372,   1557.8848
373,   1557.9801
374,   1558.0726
375,   1558.1667
376,   1558.2609
377,   1558.3529
378,   1558.4467
379,   1558.5416
380,   1558.6339
381,   1558.7286
382,   1558.8227
383,   1558.9149
384,   1559.0095
385,   1559.1032
386,   1559.1958
387,   1559.2897
388,   1559.3819
389,   1559.4745
390,   1559.5685
391,   1559.6609
392,   1559.7545
393,   1559.8482
394,   1559.9405
395,   1560.0340
396,   1560.1278
397,   1560.2203
398,   1560.3130
399,   1560.4065
400,   1560.4988
401,   1560.5921
402,   1560.6850
403,   1560.7768
404,   1560.8707
405,   1560.9637
406,   1561.0552
407,   1561.1481
408,   1561.2410
409,   1561.3326
410,   1561.4254
411,   1561.5177
412,   1561.6101
413,   1561.7034
414,   1561.7956
415,   1561.8875
416,   1561.9806
417,   1562.0730
418,   1562.1651
419,   1562.2574
420,   1562.3493
421,   1562.4409
422,   1562.5332
423,   1562.6252
424,   1562.7173
425,   1562.8092
426,   1562.9020
427,   1562.9936
428,   1563.0861
429,   1563.1780
430,   1563.2690
431,   1563.3606
432,   1563.4525
433,   1563.5438
434,   1563.6353
435,   1563.7278
436,   1563.8196
437,   1563.9112
438,   1564.0026
439,   1564.0937
440,   1564.1858
441,   1564.2772
442,   1564.3673
443,   1564.4593
444,   1564.5513
445,   1564.6419
446,   1564.7335
447,   1564.8251
448,   1564.9159
449,   1565.0079
450,   1565.0986
451,   1565.1894
452,   1565.2812
453,   1565.3718
454,   1565.4620
455,   1565.5534
456,   1565.6443
457,   1565.7343
458,   1565.8264
459,   1565.9165
460,   1566.0073
461,   1566.0992
462,   1566.1896
463,   1566.2792
464,   1566.3704
465,   1566.4603
466,   1566.5502
467,   1566.6421
468,   1566.7322
469,   1566.8227
470,   1566.9139
471,   1567.0037
472,   1567.0942
473,   1567.1853
474,   1567.2746
475,   1567.3644
476,   1567.4554
477,   1567.5445
478,   1567.6346
479,   1567.7252
480,   1567.8154
481,   1567.9053
482,   1567.9956
483,   1568.0854
484,   1568.1756
485,   1568.2657
486,   1568.3554
487,   1568.4451
488,   1568.5347
489,   1568.6247
490,   1568.7135
491,   1568.8030
492,   1568.8932
493,   1568.9830
494,   1569.0727
495,   1569.1620
496,   1569.2507
497,   1569.3402
498,   1569.4305
499,   1569.5200
500,   1569.6097
501,   1569.6998
502,   1569.7886
503,   1569.8776
504,   1569.9668
505,   1570.0557
506,   1570.1442
507,   1570.2342
508,   1570.3225
509,   1570.4117
510,   1570.5007
511,   1570.5897
Case Temperature: 31.932
Wavelength, Intensity
1520.462,    3168
1520.569,    3502
1520.676,    3462
1520.784,    3512
1520.892,    3498
1520.998,    3496
1521.107,    3469
1521.212,    3514
1521.321,    3506
1521.429,    3499
1521.535,    3502
1521.643,    3528
1521.749,    3509
1521.856,    3508
1521.964,    3493
1522.070,    3518
1522.178,    3522
1522.284,    3538
1522.392,    3510
1522.498,    3517
1522.605,    3493
1522.711,    3523
1522.818,    3506
1522.925,    3536
1523.031,    3504
1523.138,    3517
1523.244,    3483
1523.351,    3506
1523.458,    3518
1523.563,    3506
1523.671,    3497
1523.775,    3508
1523.882,    3515
1523.988,    3502
1524.093,    3513
1524.202,    3494
1524.306,    3493
1524.413,    3517
1524.519,    3513
1524.624,    3514
1524.733,    3501
1524.836,    3488
1524.943,    3515
1525.048,    3506
1525.154,    3497
1525.261,    3515
1525.364,    3500
1525.471,    3487
1525.578,    3477
1525.682,    3474
1525.789,    3469
1525.894,    3488
1526.001,    3501
1526.105,    3502
1526.210,    3476
1526.316,    3462
1526.421,    3485
1526.527,    3494
1526.631,    3496
1526.737,    3503
1526.843,    3468
1526.948,    3489
1527.054,    3474
1527.157,    3471
1527.263,    3466
1527.368,    3484
1527.473,    3466
1527.578,    3467
1527.682,    3463
1527.788,    3497
1527.893,    3457
1527.997,    3479
1528.103,    3474
1528.206,    3492
1528.312,    3474
1528.417,    3467
1528.521,    3490
1528.627,    3469
1528.729,    3439
1528.836,    3470
1528.940,    3459
1529.044,    3448
1529.149,    3436
1529.252,    3433
1529.358,    3441
1529.462,    3455
1529.566,    3425
1529.671,    3459
1529.774,    3447
1529.879,    3451
1529.983,    3464
1530.087,    3455
1530.192,    3440
1530.295,    3444
1530.400,    3432
1530.503,    3467
1530.606,    3463
1530.710,    3454
1530.813,    3451
1530.918,    3483
1531.022,    3468
1531.125,    3481
1531.230,    3440
1531.332,    3478
1531.437,    3462
1531.541,    3492
1531.644,    3469
1531.748,    3482
1531.850,    3474
1531.954,    3476
1532.058,    3465
1532.161,    3492
1532.265,    3489
1532.367,    3495
1532.471,    3462
1532.574,    3499
1532.678,    3485
1532.782,    3483
1532.883,    3474
1532.986,    3493
1533.090,    3500
1533.193,    3489
1533.297,    3490
1533.398,    3495
1533.502,    3492
1533.605,    3476
