Case Temperature: 31.392
Wavelength, Intensity
1556.090,    3368
1556.183,    3362
1556.278,    3366
1556.372,    3360
1556.466,    3366
1556.560,    3347
1556.655,    3359
1556.748,    3347
1556.843,    3344
1556.937,    3337
1557.031,    3372
1557.126,    3335
1557.220,    3360
1557.313,    3353
1557.409,    3349
1557.502,    3346
1557.596,    3335
1557.691,    3332
1557.783,    3354
1557.877,    3319
1557.973,    3334
1558.065,    3320
1558.159,    3328
1558.254,    3347
1558.346,    3315
1558.439,    3326
1558.534,    3309
1558.627,    3321
1558.721,    3333
1558.815,    3318
1558.908,    3315
1559.002,    3311
1559.096,    3319
1559.188,    3307
1559.282,    3309
1559.375,    3314
1559.467,    3301
1559.561,    3280
1559.654,    3298
1559.747,    3303
1559.841,    3270
1559.933,    3284
1560.027,    3284
1560.120,    3274
1560.213,    3273
1560.306,    3261
1560.399,    3265
1560.491,    3268
1560.585,    3278
1560.678,    3264
1560.769,    3286
1560.863,    3263
1560.956,    3272
1561.048,    3290
1561.141,    3297
1561.234,    3279
1561.325,    3286
1561.418,    3266
1561.510,    3280
1561.603,    3272
1561.696,    3269
1561.788,    3273
1561.880,    3292
1561.973,    3263
1562.066,    3296
1562.158,    3267
1562.250,    3273
1562.342,    3267
1562.434,    3273
1562.526,    3248
1562.618,    3294
1562.710,    3285
1562.802,    3290
1562.895,    3275
1562.986,    3281
1563.079,    3279
1563.171,    3282
1563.262,    3276
1563.353,    3310
1563.445,    3292
1563.536,    3301
1563.628,    3276
1563.720,    3318
1563.812,    3301
1563.904,    3335
1563.995,    3294
1564.086,    3337
1564.178,    3317
1564.270,    3325
1564.360,    3321
1564.452,    3337
1564.544,    3324
1564.635,    3340
1564.726,    3314
1564.818,    3334
1564.909,    3332
1565.001,    3350
1565.091,    3305
1565.182,    3323
1565.274,    3334
1565.364,    3329
1565.455,    3327
1565.546,    3330
1565.637,    3323
1565.727,    3329
1565.819,    3313
1565.909,    3316
1566.000,    3303
1566.092,    3357
1566.182,    3320
1566.272,    3326
1566.363,    3319
1566.453,    3308
1566.543,    3305
1566.635,    3348
1566.725,    3306
1566.815,    3320
1566.907,    3303
1566.996,    3298
1567.087,    3297
1567.178,    3309
1567.267,    3297
1567.357,    3312
1567.448,    3298
1567.537,    3284
1567.627,    3295
1567.718,    3312
1567.808,    3268
1567.898,    3287
1567.988,    3296
1568.078,    3275
1568.168,    3288
1568.258,    3282
1568.348,    3255
1568.438,    3280
1568.527,    3278
1568.617,    3271
1568.706,    3273
1568.796,    3257
1568.886,    3263
1568.976,    3266
1569.065,    3248
1569.155,    3260
1569.243,    3273
1569.333,    3255
1569.423,    3255
1569.513,    3266
1569.602,    3273
1569.692,    3268
1569.781,    3236
1569.870,    3245
1569.959,    3265
1570.048,    3247
1570.137,    3254
1570.227,    3246
1570.315,    3244
1570.404,    3269
1570.493,    3245
1570.582,    3242
Pixel,  Wavelength(nm)
000,   1520.4535
001,   1520.5607
002,   1520.6680
003,   1520.7754
004,   1520.8840
005,   1520.9899
006,   1521.0991
007,   1521.2042
008,   1521.3124
009,   1521.4208
010,   1521.5270
011,   1521.6352
012,   1521.7408
013,   1521.8481
014,   1521.9557
015,   1522.0617
016,   1522.1700
017,   1522.2758
018,   1522.3840
019,   1522.4894
020,   1522.5965
021,   1522.7027
022,   1522.8098
023,   1522.9165
024,   1523.0225
025,   1523.1301
026,   1523.2360
027,   1523.3429
028,   1523.4498
029,   1523.5551
030,   1523.6625
031,   1523.7664
032,   1523.8734
033,   1523.9797
034,   1524.0850
035,   1524.1937
036,   1524.2976
037,   1524.4048
038,   1524.5110
039,   1524.6163
040,   1524.7246
041,   1524.8279
042,   1524.9345
043,   1525.0401
044,   1525.1459
045,   1525.2524
046,   1525.3560
047,   1525.4633
048,   1525.5694
049,   1525.6743
050,   1525.7808
051,   1525.8855
052,   1525.9927
053,   1526.0968
054,   1526.2019
055,   1526.3075
056,   1526.4125
057,   1526.5193
058,   1526.6229
059,   1526.7285
060,   1526.8349
061,   1526.9398
062,   1527.0460
063,   1527.1491
064,   1527.2548
065,   1527.3598
066,   1527.4645
067,   1527.5702
068,   1527.6740
069,   1527.7801
070,   1527.8845
071,   1527.9892
072,   1528.0951
073,   1528.1983
074,   1528.3042
075,   1528.4086
076,   1528.5133
077,   1528.6184
078,   1528.7210
079,   1528.8276
080,   1528.9318
081,   1529.0363
082,   1529.1413
083,   1529.2441
084,   1529.3498
085,   1529.4534
086,   1529.5575
087,   1529.6625
088,   1529.7656
089,   1529.8712
090,   1529.9748
091,   1530.0789
092,   1530.1843
093,   1530.2867
094,   1530.3919
095,   1530.4953
096,   1530.5981
097,   1530.7022
098,   1530.8051
099,   1530.9098
100,   1531.0135
101,   1531.1171
102,   1531.2217
103,   1531.3240
104,   1531.4293
105,   1531.5326
106,   1531.6358
107,   1531.7395
108,   1531.8417
109,   1531.9462
110,   1532.0496
111,   1532.1526
112,   1532.2568
113,   1532.3587
114,   1532.4626
115,   1532.5662
116,   1532.6702
117,   1532.7736
118,   1532.8746
119,   1532.9783
120,   1533.0816
121,   1533.1849
122,   1533.2889
123,   1533.3899
124,   1533.4938
125,   1533.5970
126,   1533.6988
127,   1533.8037
128,   1533.9044
129,   1534.0072
130,   1534.1098
131,   1534.2113
132,   1534.3164
133,   1534.4182
134,   1534.5205
135,   1534.6239
136,   1534.7254
137,   1534.8288
138,   1534.9303
139,   1535.0323
140,   1535.1355
141,   1535.2362
142,   1535.3395
143,   1535.4420
144,   1535.5438
145,   1535.6472
146,   1535.7479
147,   1535.8509
148,   1535.9539
149,   1536.0544
150,   1536.1573
151,   1536.2581
152,   1536.3596
153,   1536.4622
154,   1536.5631
155,   1536.6663
156,   1536.7678
157,   1536.8694
158,   1536.9717
159,   1537.0724
160,   1537.1741
161,   1537.2756
162,   1537.3762
163,   1537.4789
164,   1537.5796
165,   1537.6812
166,   1537.7828
167,   1537.8831
168,   1537.9860
169,   1538.0865
170,   1538.1883
171,   1538.2896
172,   1538.3894
173,   1538.4910
174,   1538.5926
175,   1538.6937
176,   1538.7953
177,   1538.8953
178,   1538.9962
179,   1539.0972
180,   1539.1978
181,   1539.2994
182,   1539.3995
183,   1539.5006
184,   1539.6016
185,   1539.7009
186,   1539.8028
187,   1539.9036
188,   1540.0041
189,   1540.1054
190,   1540.2050
191,   1540.3062
192,   1540.4065
193,   1540.5051
194,   1540.6065
195,   1540.7061
196,   1540.8065
197,   1540.9075
