Integration Time: 500 us
Line Rate: 1600 Hz
Load Calibration Data Successfully
Pixel,  Wavelength(nm)
349,   1555.6723
350,   1555.7683
351,   1555.8623
352,   1555.9571
353,   1556.0531
354,   1556.1458
355,   1556.2402
356,   1556.3350
357,   1556.4284
358,   1556.5226
359,   1556.6173
360,   1556.7107
361,   1556.8060
362,   1556.9001
363,   1556.9933
364,   1557.0888
365,   1557.1829
366,   1557.2760
367,   1557.3714
368,   1557.4651
369,   1557.5587
370,   1557.6533
371,   1557.7460
372,   1557.8401
373,   1557.9354
374,   1558.0279
375,   1558.1220
376,   1558.2162
377,   1558.3081
378,   1558.4020
379,   1558.4968
380,   1558.5891
381,   1558.6839
382,   1558.7780
383,   1558.8701
384,   1558.9648
385,   1559.0584
386,   1559.1510
387,   1559.2450
388,   1559.3372
389,   1559.4297
390,   1559.5237
391,   1559.6161
392,   1559.7097
393,   1559.8034
394,   1559.8957
395,   1559.9892
396,   1560.0831
397,   1560.1755
398,   1560.2682
399,   1560.3617
400,   1560.4540
401,   1560.5474
402,   1560.6402
403,   1560.7320
404,   1560.8259
405,   1560.9189
406,   1561.0104
407,   1561.1034
408,   1561.1962
409,   1561.2878
410,   1561.3806
411,   1561.4729
412,   1561.5653
413,   1561.6586
414,   1561.7508
415,   1561.8427
416,   1561.9358
417,   1562.0281
418,   1562.1203
419,   1562.2127
420,   1562.3044
421,   1562.3961
422,   1562.4884
423,   1562.5803
424,   1562.6725
425,   1562.7644
426,   1562.8571
427,   1562.9488
428,   1563.0413
429,   1563.1331
430,   1563.2242
431,   1563.3158
432,   1563.4077
433,   1563.4990
434,   1563.5904
435,   1563.6829
436,   1563.7748
437,   1563.8663
438,   1563.9577
439,   1564.0489
440,   1564.1409
441,   1564.2323
442,   1564.3225
443,   1564.4144
444,   1564.5064
445,   1564.5971
446,   1564.6886
447,   1564.7802
448,   1564.8711
449,   1564.9630
450,   1565.0537
451,   1565.1446
452,   1565.2363
453,   1565.3269
454,   1565.4171
455,   1565.5084
456,   1565.5994
457,   1565.6894
458,   1565.7815
459,   1565.8716
460,   1565.9624
461,   1566.0542
462,   1566.1447
463,   1566.2343
464,   1566.3255
465,   1566.4154
466,   1566.5053
467,   1566.5972
468,   1566.6873
469,   1566.7778
470,   1566.8690
471,   1566.9588
472,   1567.0493
473,   1567.1403
474,   1567.2296
475,   1567.3195
476,   1567.4105
477,   1567.4995
478,   1567.5896
479,   1567.6803
480,   1567.7704
481,   1567.8603
482,   1567.9507
483,   1568.0404
484,   1568.1306
485,   1568.2208
486,   1568.3104
487,   1568.4001
