Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Integration Time: 30 us
Line Rate: 5000 Hz
Load Calibration Data Successfully
Pixel,  Wavelength(nm)
341,   1554.9332
342,   1555.0289
343,   1555.1223
344,   1555.2180
345,   1555.3128
346,   1555.4059
347,   1555.5013
348,   1555.5965
349,   1555.6908
350,   1555.7867
351,   1555.8808
352,   1555.9756
353,   1556.0715
354,   1556.1643
355,   1556.2586
356,   1556.3535
357,   1556.4469
358,   1556.5411
359,   1556.6357
360,   1556.7291
361,   1556.8244
362,   1556.9185
363,   1557.0118
364,   1557.1072
365,   1557.2013
366,   1557.2945
367,   1557.3898
368,   1557.4836
369,   1557.5772
370,   1557.6718
371,   1557.7644
372,   1557.8585
373,   1557.9538
374,   1558.0463
375,   1558.1405
376,   1558.2346
377,   1558.3266
378,   1558.4204
379,   1558.5153
380,   1558.6076
381,   1558.7024
382,   1558.7964
383,   1558.8886
384,   1558.9832
385,   1559.0769
386,   1559.1695
387,   1559.2634
388,   1559.3556
389,   1559.4482
390,   1559.5422
391,   1559.6346
392,   1559.7282
393,   1559.8219
394,   1559.9142
395,   1560.0077
396,   1560.1015
397,   1560.1940
398,   1560.2867
399,   1560.3802
400,   1560.4725
401,   1560.5658
402,   1560.6587
403,   1560.7505
404,   1560.8444
405,   1560.9374
406,   1561.0289
407,   1561.1218
408,   1561.2147
409,   1561.3063
410,   1561.3991
411,   1561.4914
412,   1561.5838
413,   1561.6771
414,   1561.7693
415,   1561.8612
416,   1561.9543
417,   1562.0467
418,   1562.1388
419,   1562.2311
420,   1562.3230
421,   1562.4146
422,   1562.5069
423,   1562.5989
424,   1562.6910
425,   1562.7829
426,   1562.8757
427,   1562.9673
428,   1563.0598
429,   1563.1517
430,   1563.2427
431,   1563.3343
432,   1563.4262
433,   1563.5175
434,   1563.6090
435,   1563.7014
436,   1563.7933
437,   1563.8849
438,   1563.9763
439,   1564.0674
440,   1564.1595
441,   1564.2509
442,   1564.3410
443,   1564.4330
444,   1564.5250
445,   1564.6156
446,   1564.7072
447,   1564.7988
448,   1564.8896
449,   1564.9816
450,   1565.0723
